;job_id;job_title;kualifikasi_pendidikan;spesialist;work_exp;careerLevel;salaryMin;salaryMax;kualifikasi;jobLocation;company_name;company_industry;company_job_type;company_size;job_url;closedAt;postedAt
0;3969606;Sales Canvas;SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Penjualan / Pemasaran;Penjualan Ritel";3 tahun;Pegawai (non-manajemen & non-supervisor);2500000.0;3500000.0;Deskripsi PekerjaanMinimum Pendidikan Diploma / SarjanaBerpengalaman sebagai Sales Canvas minimal 3 tahunPengalaman minimal 3 Tahun dibidang sales Automotif akan menjadi nilai lebihMampu Operasikan Komputer dan mahir berkomunikasi.Spesialisasi di Sales Retail / General tradingMenyukai dibidang otomotifmengetahui parts-parts otomotif khususnya AC dan Power Train.Usia 25 - 45 TahunJujur, Bertanggung Jawab, DisiplinBisa Bekerja dalam Team maupun IndividuPunya Kendaraan Sendiri motor /mobil Gaji + BonusKoperasiDomisili Yogyakarta dan sekitarnya;Yogyakarta;Eka Inti;Automobil/Mesin Tambahan Automotif/Kendaraan;Kontrak;;https://www.jobstreet.co.id/id/job/sales-canvas-3969606;24/08/2022 17:00;10/08/2022 20:00
1;3969696;Creative Graphic Designer - Yogyakarta;Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2);"Seni/Media/Komunikasi;Seni / Desain Kreatif";2 tahun;Pegawai (non-manajemen & non-supervisor);;;Job Description:Follow the brief from Head Design and finish the project sucessfully until it's done to fulfill Client's NeedReport Task to Head Design and willing to work over time if neededRequirements:Do Design as great as Do Photo+VideographyTaking Photos & Film videos on set or on locationPlan the shoot with creative team and the client.Edit footage in post-productionResponsible for making reels, video motion, and documentationt.Software:Adobe Premiere Pro and Final Cut ProAdobe After EffectsAdobe PhotoshopAdobe IllustratorAdobe Lightroom;Yogyakarta;PT Nata Connexindo Digital;Konsultasi (Bisnis & Manajemen);Penuh Waktu;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/creative-graphic-designer-yogyakarta-3969696;24/08/2022 17:00;10/08/2022 20:00
2;3970137;Field Collector Area Yogyakarta;SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Akuntansi / Keuangan;Perbankan / Jasa Finansial ";2 tahun;Pegawai (non-manajemen & non-supervisor);3100000.0;4340000.0;PersyaratanUsia 18 - 35 tahunDiutamakan memiliki pengalaman minimal 2 tahun sebagai collectionMemiliki kendaraan roda dua dan SIM C yang masih berlakuMengenal daerah YOGYAKARTA dengan baikKemampuan komunikasi dan negosiasi yang baikMinimal SMA/SMKTanggung JawabMelakukan aktivitas penagihan kepada konsumen di lapanganPengambilan tagihan pembayaran ke konsumenMembuat laporan kunjunganMencapai target yang telah ditentukan;Yogyakarta;PT Finaccel Finance Indonesia;Perbankan/Pelayanan Keuangan;Kontrak;1001 - 2000 pekerja;https://www.jobstreet.co.id/id/job/field-collector-area-yogyakarta-3970137;24/08/2022 17:00;10/08/2022 20:00
3;3970186;SOCIAL MEDIA SPECIALIST;Sarjana (S1);"Penjualan / Pemasaran;Digital Marketing";3 tahun;Supervisor/Koordinator;;;SOCIAL MEDIA SPECIALISTKUALIFIKASI :Pendidikan minimal D3/S1 Pemasaran atau MarketingPengalaman minimal 3 tahun sebagai Social Media SpecialistSocial Media Savvy dan kemampuan komunikasi yang baikSkill photography dan Video editing terkiniKreatifitas yang Out of The BoxMampu berfikir cepat dan agileMampu mengelola timDomisili Jogjakarta dan SekitarnyaLokasi Kerja : JogjakartaTANGGUNG JAWABMengembangkan strategi content yang sesuai dan konsisten dengan identitas brandMembuat content plan yang sesuai dengan program kerja Marketing Menciptakan kontent High-engagement yang bervalue secara konsisten di IG dan TiktokMengelola postingan sosial media dengan Volume tinggiBerkomunikasi dengan followers dan community secara intensive termasuk melakukan LIVEMembuat laporan perkembangan brand media sosialMemberikan usulan kepada top management mengenai improvement sosial media;Yogyakarta;PT Importa Jaya Abadi;Manufaktur/Produksi;Penuh Waktu;201 - 500 pekerja;https://www.jobstreet.co.id/id/job/social-media-specialist-3970186;24/08/2022 17:00;10/08/2022 20:00
4;3970278;Sales Eksekutif;SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Penjualan / Pemasaran;Penjualan Ritel";1 tahun;Pegawai (non-manajemen & non-supervisor);;;"Deskripsi pekerjaan:Penetrasi/Jual minyak goreng (jirigen), untuk pasar HORECA (Hotel, Restaurant, Cafe/Catering)Menagih piutang dagang sesuai wilayah tanggung jawabnyaMemberikan informasi kondisi pasar dipersaingan minyak goreng kelapaBertanggung jawab untuk membangun hubungan dengan customer / calon customer untuk mencapai target penjualan perusahaan.Mencari calon customer di LapanganMau bekerja keras dan bersedia bekerja lapanganMemiliki komunikasi yang baikMemiliki kemampuan sebagai sales yang mampu menawarkan produkKualifikasi:Pendidikan minimal SMA - D3 semua jurusanUsia maksimal 40 tahunMinimal pengalaman di Sales untuk customer HORECA (Hotel, Restaurant, Cafe/Catering) minimal 1 tahunDiutamakan berpengalaman di bidang Sales minyak gorengMempunyai kendaraan sendiriMempunyai SIM C atau SIM ATerbiasa dengan sistem ""Target Oriented""Dapat bekerjasama dengam tim maupun individualMemiliki SKCK yang masih berlakuCatatan:*Dibutuhkan untuk home base Yogjakarta ( Covering Jogjakarta, Solo, Klaten, Salatiga, Magelang, Semarang, Kudus, dan Pekalongan )*Bersedia bergabung secepatnya*Mohon yang tidak sesuai spesifikasi untuk tidak melamar  ";Yogyakarta;PT Sari Mas Permai;Manufaktur/Produksi;Penuh Waktu;501 - 1000 pekerja;https://www.jobstreet.co.id/id/job/sales-eksekutif-3970278;24/08/2022 17:00;10/08/2022 20:00
5;3970333;Mobile Developer;Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Komputer/Teknologi Informasi;IT-Perangkat Lunak";3 tahun;Pegawai (non-manajemen & non-supervisor);5000000.0;10000000.0;PT Medika Digital Nusantara bekerjasama dengan PT Bank Raya Indonesia, Tbk memuka kesempatan bergabung Talent yang handal dan tangguh untuk bergabung di Raya Tech dan Raya Cowork yang berfokus pada Banking Application System untuk penempatan Yogyakarta untuk posisi :Junior Mobile Developer dan Senior Mobile DeveloperPendidikan D3/ S1, Teknik Informatika dan Komputer dan sejenisnyaMemiliki pengalaman kerja/ project dalam mobile dan web application 1-3 tahun untuk Junior Mobile DeveloperMemiliki pengalaman kerja/ project dalam mobile dan web application 3-5 tahun dan lebih untuk Senior Mobile DeveloperBersedia untuk penempatan kantor Raya Tech & Raya Cowork di kota YogyakartaMemahami bahasa pemograman Kotlin, ReactNative, Flutter, Darts, Kotlin;Yogyakarta;PT MEDIKA DIGITAL NUSANTARA;Komputer/Teknik Informatika (Perangkat Lunak);Penuh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/mobile-developer-3970333;24/08/2022 17:00;10/08/2022 20:00
6;3971568;Sales General Manager;Tidak terspesifikasi;"Penjualan / Pemasaran;Penjualan - Korporasi";7 tahun;CEO/GM/Direktur/Manajer Senior;4000000.0;5000000.0;Deskripsi Pekerjaan :Merumuskan rekomendasi yang akan memperkuat pemasaran penjualan.Mengejar prospek penjualan yang berasal dari berbagai sumber (kegiatan pemasaran dan pengembangan bisnis) dengan menawarkan dan memfasilitasi presentasi dan evaluasi penjualan.Bertemu dengan Kepala Tim penjualan untuk menetapkan tujuan tahunan dan bulanan untuk penjualan unit, laba kotor, pengeluaran, dan evaluasi.Melakukan promosi penjualan besar dan iklan sesuai kebutuhan.Berkomunikasi secara teratur dengan direktur dan manajemen perusahaan.Kelola penjualan dan dorong pemanfaatan penuh semua anggota tim penjualan.Siapkan rencana keseluruhan untuk setiap anggota tim termasuk aktivitas minimum untuk kunjungan, pencarian, dan prospek.PersyaratanPengalaman 5-7 tahun sebagai Senior Sales Manajer penjualan (bidang property dan apartemen).Usia 35 Tahun ke atas.Memahami penjualan dan pemasaran, mengetahui bisnis dan misi, keterampilan teknis dan fungsional yang penting diperlukan untuk melakukan pekerjaan tersebut.Terorganisir dengan baik, banyak kreatifitas, dan perencanaan yang baik.Memiliki keterampilan kepemimpinan yang kuat.Memiliki kemampuan komunikasi yang baik.Memiliki Intergritas yang baik & jujur.;Sleman;Mahakarya Development;Properti/Real Estate;Penuh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/sales-general-manager-3971568;25/08/2022 17:00;11/08/2022 20:00
7;3971681;SPG (Yogyakarta);Tidak terspesifikasi;"Penjualan / Pemasaran;Penjualan Ritel";1 tahun;Lulusan baru/Pengalaman kerja kurang dari 1 tahun;4000000.0;5000000.0;Kualifikasi:Mampu bekerja mandiriMemiliki kemampuan untuk salesmemiliki pengalaman di retail atau sebagai SPGbersedia masuk weekenddapat segera bergabungTugas dan tanggung JawabMelakukan kegiatan selling di areaMerapihkan displayMenjalankan kegiatan promosi di areaMelayani customer yang datang ke retail;Yogyakarta;PT ADS KOMUNIKASI INDONESIA;Periklanan/Marketing/Promosi/Hubungan Masyarakat;Penuh Waktu;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/spg-yogyakarta-3971681;25/08/2022 17:00;11/08/2022 20:00
8;3972090;Education Counsellor - Australia (Yogyakarta);Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2);"Pendidikan/Pelatihan;Pendidikan";1 tahun;Pegawai (non-manajemen & non-supervisor);;;Counselling students on Australia studies, providing admission information and assisting student with visa application.Communicating with respective Australia universities client.Plan, organize, and implement student application and visa processing.Participate in exhibitions or seminar/ interview programs or other outreach activities to convert existing leads, generated by the Marketing / Manager / Other conversion generating activities.Conduct other activities as part of ‘after sales services' and to maintain relationships with IDP’s current students & alumni such as:Outreach activities.Public speaking & presentations.Visiting schools, universities, companies & government departments.Activities to involve parents and students.Requirements: Candidate must possess at least a Bachelor's Degree, any field. Education counselling skills which include:Basic knowledge of AustraliaBasic knowledge of Australia culture and geographic regionBasic knowledge of Australia university coursesBasic knowledge of visa rules and regulationsRequired language(s): English Australia graduated or previous study abroad counselling activities are preferable. At least 1 year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor)s specializing in Education or equivalent.Full-Time position available.;Yogyakarta;PT IDP Consulting Indonesia;Pendidikan;Penuh Waktu;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/education-counsellor-australia-yogyakarta-3972090;25/08/2022 17:00;11/08/2022 20:00
9;3972128;Education Counselor (United Kingdom) - Yogyakarta;Tidak terspesifikasi;"Pendidikan/Pelatihan;Pendidikan";1 tahun;Pegawai (non-manajemen & non-supervisor);;;Counselling students on United Kingdom studies, providing admission information, and assisting student with visa application.Communicating with respective UK universities client.Plan, organize, and implement students application and visa processing.Participate in exhibitions or seminar/ interview programs or other outreach activities to convert existing leads, generated by the Marketing / Manager / Other conversion generating activities.Conduct other activities as part of ‘after sales services’ and to maintain relationships with IDP’s current students & alumni such as: Outreach activities.Public speaking & presentations.Visiting schools, universities, companies & government departments.Activities to involve parents and students. Requirements:Previous counseling experience will be preferable.Candidate must possess at least a Bachelor's Degree, Master's Degree / Post Graduate Degree, any field.Required language(s): English, Bahasa Indonesia.At least 1 year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor)s specializing in Education or equivalent.Full-Time position(s) available.;Yogyakarta;PT IDP Consulting Indonesia;Pendidikan;Penuh Waktu;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/education-counselor-united-kingdom-yogyakarta-3972128;25/08/2022 17:00;11/08/2022 20:00
